index,lc_PhotoCount,lc_RejectedCount,lc_PendingCount,lc_EmptyCount,lc_PhotoBitDecimal,lc_ClassificationCount,lc_ClassificationBitDecimal,lc_SubCompletenessScore,lc_CumulativeCompletenessScore
count,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0,1479.0
mean,3.688,0.495,0.0,1.817,38.818,1.024,3.834,0.471,0.938
std,2.666,1.372,0.0,2.582,28.865,1.742,6.534,0.375,0.031
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
50%,5.0,0.0,0.0,0.0,61.0,0.0,0.0,0.6,0.95
75%,6.0,0.0,0.0,5.0,63.0,4.0,15.0,0.6,0.95
max,6.0,6.0,0.0,6.0,63.0,4.0,15.0,1.0,0.98
