SDS Name,Description,Units,Data Type,Fill Value,No Data Value,Valid Range,Scale Factor
lc_North_TreesCloselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_North_TreesCloselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_North_TreesCloselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_North_TreesCloselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_North_TreesCloselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_North_TreesCloselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_North_TreesLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_North_UrbanCommercialProperty,,int64,int64,,-9999,,
lc_North_UrbanOther,,int64,int64,,-9999,,
lc_North_UrbanResidentialProperty,,int64,int64,,-9999,,
lc_North_UrbanRoadsAndParking,,int64,int64,,-9999,,
lc_North_WetlandsInFreshwaterLakeOrPond(Lacustrine),,int64,int64,,-9999,,
lc_North_WetlandsInFreshwaterRiverine(Riverine),,int64,int64,,-9999,,
lc_North_WetlandsInSaltBrackishTidal(Estuarine),,int64,int64,,-9999,,
lc_SouthCaption,,int64,int64,,-9999,,
lc_SouthClassifications,,Class,object,,NA,,
lc_SouthExtraData,,Class,object,,NA,,
lc_SouthPhotoUrl,,Class,object,,NA,,
lc_South_BarrenBareRock,,int64,int64,,-9999,,
lc_South_BarrenDirtOther,,int64,int64,,-9999,,
lc_South_BarrenPerennialSnowfields,,int64,int64,,-9999,,
lc_South_BarrenSandy,,int64,int64,,-9999,,
lc_South_CultivatedAthleticFieldGolfCourseCemetery,,int64,int64,,-9999,,
